"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Municipality ID","Municipality","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.4285714626312256,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19026,"Guadalupe",5,1,2.857142925262451,0.5714285969734192,0.14076319336891174,0.7038159370422363,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19039,"Monterrey",14,3,8.285714149475098,1.5714285373687744,0.26670578122138977,1.2446269989013672,0,"solid"
2020,1,"Q1",3,"2020-03",20,20200320,"2020-03-20","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",4,0,2.857142925262451,0.2857142984867096,0,0.8435917496681213,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,1.7142857313156128,0.1428571492433548,0,0.30042028427124023,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19021,"General Escobedo",2,0,1.5714285373687744,0.1428571492433548,0,0.42888543009757996,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19026,"Guadalupe",5,0,3.4285714626312256,0.5714285969734192,0,0.7038159370422363,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19039,"Monterrey",18,4,10.142857551574707,1.8571428060531616,0.3556077182292938,1.6002347469329834,0,"solid"
2020,1,"Q1",3,"2020-03",21,20200321,"2020-03-21","mex","México",19,"Nuevo León",19046,"San Nicolás de los Garza",4,0,3.142857074737549,0.2857142984867096,0,0.8435917496681213,0,"solid"
2020,1,"Q1",3,"2020-03",22,20200322,"2020-03-22","mex","México",19,"Nuevo León",19006,"Apodaca",2,0,1.8571428060531616,0.1428571492433548,0,0.30042028427124023,0,"solid"
